Adres_volgens_Google,Brin,Gemeente,Instellingsnaam_volgens_Google,NaamInstelling,OvAfstand,OvAfstandMeter,OvReistijd,OvReistijdSeconden,StatusGoogleAfstand,StatusGoogleLonLat,latitude,longitude,test
"Sportlaan 11-13, 3905 AD Veenendaal, Netherlands",02MF,VEENENDAAL,Het Perron,Chr SGM Veenendaal,"84,1 km",84125.0,1 uur 43 min.,6167.0,OK,OK,52.0256222,5.543596000000001,test
"Dalweg 5, 6865 CZ Doorwerth, Netherlands",02SY,RENKUM,Dorenweerd College (MAVO / HAVO / VWO / tto),SGM Vwo Dorenweerd Coll,118 km,117783.0,2 uur 21 min.,8457.0,OK,OK,51.985113,5.797439,test
"Van Limburg Stirumstraat 4, 2012 MN Haarlem, Netherlands",02SB,HAARLEM,Lyceum Sancta Maria,Lyceum Sancta Maria,"26,5 km",26522.0,42 min.,2532.0,OK,OK,52.366623,4.616632,test
"Malder-burchtstraat 11, 6535 ND Nijmegen, Netherlands",02ST,NIJMEGEN,Kandinsky College,Kandinsky College,134 km,133546.0,2 uur 32 min.,9116.0,OK,OK,51.806303,5.838882900000001,test
"Torenlaan 83, 3742 CS Baarn, Netherlands",02TG,BAARN,Baarnsch Lyceum,Het Baarnsch Lyceum,"84,6 km",84569.0,1 uur 33 min.,5607.0,OK,OK,52.199838,5.2908211,test
"Jordanlaan 3, 3706 TE Zeist, Netherlands",02TH,ZEIST,Jordan - MLU,Herman Jordanlyceum,"60,3 km",60315.0,1 uur 34 min.,5611.0,OK,OK,52.09923819999999,5.2126966,test
"Avignonlaan 1, 5627 GA Eindhoven, Netherlands",02TC,EINDHOVEN,Frits Philips secondary school-lyceum,loc. Frits Philips lyceum-mavo,164 km,163512.0,7 uur 19 min.,26323.0,OK,OK,51.4770248,5.4471827,test
"Havinghastraat 3, 1817 DC Alkmaar, Netherlands",02TD,LANGEDIJK,Jan Arentsz Chr Sgm,Jan Arentsz Chr SGM,"73,5 km",73508.0,1 uur 59 min.,7156.0,OK,OK,52.64869179999999,4.7395259,test
"Startbaan 3, 1185 XP Amstelveen, Netherlands",02TE,AMSTELVEEN,your local kechba,H Wesselink College,"50,0 km",50014.0,1 uur 15 min.,4470.0,OK,OK,52.2872417,4.8562517,test
"Warandelaan 3, 4904 PA Oosterhout, Netherlands",02QO,OOSTERHOUT,Sint-Oelbertgymnasium,Sint Oelbert Gymnasium,"96,0 km",96049.0,2 uur 2 min.,7299.0,OK,OK,51.63024129999999,4.8545736,test
"Deken Hooijmansingel 1, 7141 EA Groenlo, Netherlands",02QN,OOST GELRE,school Marianum,RK SGM Marianum,172 km,172167.0,8 uur 51 min.,31862.0,OK,OK,52.038199,6.616696,test
"Franekeradeel, Netherlands",14NS,WAADHOEKE,Franekeradeel,Chr Sgm A.M.van Schurman,266 km,265623.0,7 uur 57 min.,28635.0,OK,OK,53.1972839,5.5395644,test
"Molenstraat 191, 5701 KD Helmond, Netherlands",14LF,HELMOND,Jan van Brabant College - Molenstraat,J v Br College vest Molenstr,158 km,158013.0,2 uur 18 min.,8252.0,OK,OK,51.4785605,5.6617544,test
"Johan de Wittlaan 22, 2517 JR Den Haag, Netherlands",02DQ,S GRAVENHAGE,Sorghvliet,Chr Gymnasium Sorghvliet,"20,9 km",20936.0,54 min.,3249.0,OK,OK,52.0882416,4.2846857,test
"Voltastraat 27, 7903 AA Hoogeveen, Netherlands",02VA,HOOGEVEEN,Roelof van Echten College location Eduwiek,Roelof van Echten College,197 km,196892.0,2 uur 15 min.,8098.0,OK,OK,52.734714,6.4788273,test
"Prins Bernhardlaan 30, 6713 MC Ede, Netherlands",02UP,EDE,Marnix College,Marnix College,"93,5 km",93494.0,1 uur 47 min.,6428.0,OK,OK,52.03125,5.664861,test
"Voorhout 100, 3055 ES Rotterdam, Netherlands",02UG,ROTTERDAM,Sint-Laurenscollege,Laurens Lyceum,"37,9 km",37856.0,1 uur 22 min.,4936.0,OK,OK,51.9646555,4.4977686,test
"Muzenlaan 155, 2353 KD Leiderdorp, Netherlands",02VD,LEIDERDORP,Visser 't Hooft Lyceum Leiderdorp,Visser t Hooft Lyceum,"6,2 km",6220.0,33 min.,1989.0,OK,OK,52.1670817,4.5359878,test
"Achter de Hoven 118, 8933 CR Leeuwarden, Netherlands",02VC,LEEUWARDEN,Comenius Chr Sgm,Comenius Chr SGM,244 km,243903.0,2 uur 54 min.,10453.0,OK,OK,53.1970047,5.8059208,test
"Van Cranenborchstraat 7, 6525 BM Nijmegen, Netherlands",02VE,NIJMEGEN,NSG,NSG Groenewoud,131 km,130863.0,2 uur 24 min.,8636.0,OK,OK,51.8257939,5.874913599999999,test
"Jupiterweg 25, 8251 AW Dronten, Netherlands",02VB,DRONTEN,Ichthus College,Ichthus College,121 km,121382.0,1 uur 45 min.,6294.0,OK,OK,52.522061,5.714812999999999,test
"De Ring 4, 9202 NW Drachten, Netherlands",04YE,SMALLINGERLAND,Opb Sgm Singelland,Opb SGM Singelland,239 km,238647.0,3 uur 13 min.,11598.0,OK,OK,53.1049622,6.120811499999999,test
"De Friese Meren, Netherlands",14FW,DE FRYSKE MARREN,De Friese Meren,OPB SGM Sevenwolden,228 km,228245.0,7 uur 53 min.,28391.0,OK,OK,52.9480029,5.7913877,test
"Baanderherenweg 2, 5282 RJ Boxtel, Netherlands",04XU,BOXTEL,Baanderherencollege VMBO / PRO,Baanderherencollege Vmbo,165 km,165223.0,2 uur 33 min.,9161.0,OK,OK,51.5945269,5.3164153,test
"Muntelaar 4, 5467 HA Veghel, Netherlands",04SU,MEIERIJSTAD,Fioretti College,Fioretti College,124 km,123786.0,2 uur 44 min.,9850.0,OK,OK,51.6219106,5.5623022,test
"Lyceumstraat 36, 7572 CR Oldenzaal, Netherlands",05AV,OLDENZAAL,Twents Carmel College,Twents Carmel College,220 km,220186.0,7 uur 21 min.,26431.0,OK,OK,52.3051952,6.923979699999999,test
"Dominee Kingweg 8, 8446 KZ Heerenveen, Netherlands",05AC,HEERENVEEN,"Public Schools Group Sevenwolden, Kei College",Kei College,218 km,217868.0,7 uur 47 min.,28040.0,OK,OK,52.9479686,5.926993299999999,test
"Bosheidestraat 1, 4715 RD Rucphen, Netherlands",04YX,RUCPHEN,Munnikenheide College,Munnikenheide College,106 km,105965.0,2 uur 2 min.,7336.0,OK,OK,51.5328865,4.567576,test
"68, Sluiskade Noordzijde, Almelo, Netherlands",04HR,ALMELO,Openbare Sgm Erasmus,Openbare SGM Erasmus,194 km,194483.0,2 uur 37 min.,9446.0,OK,OK,52.36260009999999,6.663634399999999,test
"Beerensteinerlaan 69, 1406 NR Bussum, Netherlands",02UB,GOOISE MEREN,St Vitus College,St Vituscollege,"71,4 km",71369.0,1 uur 32 min.,5494.0,OK,OK,52.2683119,5.152412399999999,test
"Hageveld 15, 2102 LM Heemstede, Netherlands",02UC,HEEMSTEDE,Atheneum College Hageveld,Atheneum Coll Hageveld,"42,2 km",42184.0,1 uur 9 min.,4129.0,OK,OK,52.347938,4.632324,test
"Burgemeester Fockema Andreaelaan 7, 3582 KA Utrecht, Netherlands",02UE,UTRECHT,"St. Boniface College ( ""Boni"")",SGM St Bonifatius Coll,"53,8 km",53769.0,1 uur 25 min.,5127.0,OK,OK,52.083105,5.136752,test
"Burgemeester Schuitestraat 3, 7772 BS Hardenberg, Netherlands",02UX,HARDENBERG,Vechtdal College Hardenberg,Vechtdal College,192 km,191688.0,2 uur 21 min.,8489.0,OK,OK,52.570077,6.623218,test
"Bezuidenhoutseweg 40, 2594 AW Den Haag, Netherlands",02US,S GRAVENHAGE,Christian lyceum Zandvliet,SGM Haags Montessori Lyc,"17,8 km",17803.0,52 min.,3095.0,OK,OK,52.0852754,4.329082500000001,test
"Van Stolkweg 35, 2585 JN Den Haag, Netherlands",02UT,S GRAVENHAGE,Liberal-Christian Lyceum,VCL,"22,0 km",22024.0,1 uur 1 min.,3638.0,OK,OK,52.101913,4.2859247,test
"Vondelpad 1-3, 9721 LX Groningen, Netherlands",02UV,GRONINGEN,Gomarus College,Gomarus College,254 km,253542.0,3 uur 7 min.,11192.0,OK,OK,53.2006923,6.5678233,test
"Nijewei 1, 9104 DK Damwâld, Netherlands",02XE,DANTUMADIEL,Christelijke Mavo De Saad,Chr School De Saad,269 km,269343.0,8 uur 29 min.,30554.0,OK,OK,53.2897119,5.9972825,test
"Blaloweg 1, 8041 AH Zwolle, Netherlands",02VT,ZWOLLE,TalentStad Beroepscollege,Agnieten Coll. loc.Talentstad,152 km,151536.0,1 uur 53 min.,6755.0,OK,OK,52.5169118,6.079815099999999,test
"Gulden Kruis 5, 1103 BE Amsterdam, Netherlands",03AQ,AMSTERDAM,Open Schoolgemeenschap Bijlmer,Open Sgm Bylmer,"54,0 km",54025.0,1 uur 6 min.,3943.0,OK,OK,52.3188409,4.9655134,test
"Bisonlaan 1, 1217 GH Hilversum, Netherlands",03FO,HILVERSUM,Comenius College,CVO 't Gooi,"79,3 km",79301.0,1 uur 35 min.,5703.0,OK,OK,52.2341189,5.145734,test
"Rijssen-Holten, Netherlands",02XJ,RIJSSEN-HOLTEN,Rijssen-Holten,Chr SGM Reggesteijn,234 km,234478.0,3 uur 47 min.,13605.0,OK,OK,52.2925057,6.439998999999999,test
"Nassausingel 7, 4811 DE Breda, Netherlands",03AM,BREDA,Stedelijk Gymnasium Breda,Stedelijk Gymnasium,"87,9 km",87946.0,1 uur 45 min.,6325.0,OK,OK,51.5920639,4.788547100000001,test
"Kerkelaantje 1, 9166 NB Schiermonnikoog, Netherlands",02XQ,SCHIERMONNIKOOG,Inspecteur Boelensschool,Inspecteur Boelensschool,,,,,Er ging iets mis,OK,53.479309,6.163039599999999,test
"Rijksstraatweg 153, 4254 XD Sleeuwijk, Netherlands",02XS,WERKENDAM,Altena College,Altena College Chr SGM,"92,1 km",92066.0,2 uur 12 min.,7945.0,OK,OK,51.80648619999999,4.9418365,test
"Boekenroodeweg 5, 2111 HJ Aerdenhout, Netherlands",02YH,BLOEMENDAAL,Aerdenhout Montessori College,MCA,"26,1 km",26116.0,36 min.,2172.0,OK,OK,52.3600534,4.5985455,test
"Heerlen, Netherlands",02ZC,HEERLEN,Heerlen,Gymn vh Bernardinuscoll,263 km,262727.0,6 uur 46 min.,24346.0,OK,OK,50.88817419999999,5.9794988,test
"Jozef Israelslaan 56, 3443 CT Woerden, Netherlands",04IX,WOERDEN,Kalsbeek College,Kalsbeek College,"37,9 km",37912.0,1 uur 7 min.,4032.0,OK,OK,52.09171629999999,4.8705013,test
"Florens Radewijnsstraat 6, 8101 BW Raalte, Netherlands",04OY,RAALTE,Carmel College Salland,Carmel College Salland,168 km,168131.0,2 uur 14 min.,8067.0,OK,OK,52.3916991,6.2664609,test
"De Weggebekker 1, 6413 NR Heerlen, Netherlands",05FJ,HEERLEN,Emmacollege VMBO,Emmacollege locatie Broekland,274 km,273985.0,7 uur 13 min.,26008.0,OK,OK,50.9278497,5.9550579,test
"Bossenburghpad 10, 4385 CJ Vlissingen, Netherlands",03XS,VLISSINGEN,Christelijke Scholengemeenschap Walcheren | Bestevaer,Chr SGM Walcheren,171 km,171378.0,2 uur 50 min.,10223.0,OK,OK,51.4621767,3.5798298,test
"Zekeringstraat 38, 1014 BT Amsterdam, Netherlands",28AC,AMSTERDAM,"de Passie, stichting voor Evangelisch Bijbelgetrouw Onderwijs",De Passie,"45,2 km",45154.0,53 min.,3193.0,OK,OK,52.396849,4.8502594,test
"Wibautstraat 220, 1097 DN Amsterdam, Netherlands",09VK,AMSTERDAM,Vmbo Onder Bestuur Roc v A-Dam,VMBO onder bestuur ROC v A'dam,"52,0 km",51984.0,1 uur 2 min.,3717.0,OK,OK,52.3495308,4.916500699999999,test
"Diamantlaan 16, 9743 BG Groningen, Netherlands",25LW,GRONINGEN,Noorderpoort,Noorderpoort,262 km,261909.0,7 uur 28 min.,26864.0,OK,OK,53.2181366,6.5285612,test
"Mondriaanlaan 1, 5342 CN Oss, Netherlands",23FX,OSS,The Hooghuis Location Mondriaan College,Mondriaan College,119 km,119042.0,2 uur 13 min.,7976.0,OK,OK,51.7538267,5.528730200000001,test
"Sportlaan Driene 6-i, 7552 HA Hengelo, Netherlands",18CR,HENGELO,Pc/rk Sgm de Grundel,PC/RK SGM De Grundel,212 km,211558.0,7 uur 18 min.,26253.0,OK,OK,52.2638644,6.816470499999999,test
"Avignonlaan 1, 5627 GA Eindhoven, Netherlands",27ZF,EINDHOVEN,Frits Philips secondary school-lyceum,Lyceum Bisschop Bekkers,164 km,163512.0,7 uur 19 min.,26323.0,OK,OK,51.4770248,5.4471827,test
"Emerweg 27, 4814 NA Breda, Netherlands",28DB,BREDA,Orion Lyceum,Orion Lyceum,"96,5 km",96535.0,2 uur 19 min.,8313.0,OK,OK,51.5893077,4.749800599999999,test
"The Hague, Netherlands",01PU,S GRAVENHAGE,The Hague,Aloysiuscollege Kath SGM,"18,4 km",18364.0,47 min.,2823.0,OK,OK,52.0704978,4.3006999,test
"Gershwinstraat 10, 5012 AR Tilburg, Netherlands",02IS,TILBURG,Vakcollege Tilburg,Vakcollege Tilburg,115 km,114824.0,2 uur 20 min.,8396.0,OK,OK,51.5768104,5.10102,test
"De Friese Meren, Netherlands",00ZH,DE FRYSKE MARREN,De Friese Meren,SGM Gaasterland,289 km,288529.0,9 uur 29 min.,34134.0,OK,OK,52.9480029,5.7913877,test
"Valkstraat 4, 6135 GC Sittard, Netherlands",02MY,SITTARD-GELEEN,Da Capo College locatie Eysenhegge,DaCapo Milaanstraat,261 km,261314.0,6 uur 29 min.,23352.0,OK,OK,51.0031334,5.85307,test
"Gerard Doustraat 13, 7944 HD Meppel, Netherlands",03XM,MEPPEL,CSG Dingstede,Chr SGM Dingstede,178 km,177839.0,2 uur 14 min.,8028.0,OK,OK,52.6893847,6.1821361,test
"Kasteel Hillenraedtstraat 1, 6043 HA Roermond, Netherlands",03XF,ROERMOND,Nt2 Mundium College,Mundium College,265 km,264501.0,6 uur 18 min.,22689.0,OK,OK,51.1907703,6.007003099999999,test
"Putsteeg 4, 5481 XT Schijndel, Netherlands",04GU,SINT-MICHIELSGESTEL,Elde College,Elde College Schijndel,116 km,115890.0,2 uur 28 min.,8894.0,OK,OK,51.61562619999999,5.4270803,test
"Lindelaan 2, 2421 VR Nieuwkoop, Netherlands",04DF,NIEUWKOOP,Katholieke Stichting Ashram College,Ashram College,"29,1 km",29111.0,1 uur 4 min.,3827.0,OK,OK,52.1492857,4.7745445,test
"Olympus 11, 6832 EL Arnhem, Netherlands",05FF,ARNHEM,Olympus College,Olympuscollege,112 km,112409.0,2 uur 8 min.,7656.0,OK,OK,51.9636367,5.902418200000001,test
"Bradleystraat 25, 6135 CV Sittard, Netherlands",04DS,SITTARD-GELEEN,Stichting Trevianum,Gymnasium Trevianum,262 km,262035.0,6 uur 39 min.,23913.0,OK,OK,51.0073835,5.848339,test
"Tuinstraat 1-3, 5531 GK Bladel, Netherlands",03KN,BLADEL,Pius X-College,RK SGM Pius X,361 km,360714.0,8 uur 20 min.,29993.0,OK,OK,51.3720686,5.2304835,test
"Appelstraat 4, 4413 ET Krabbendijke, Netherlands",03JY,REIMERSWAAL,Calvin College,Calvijn College,131 km,130523.0,2 uur 10 min.,7822.0,OK,OK,51.4350192,4.1084036,test
"Beurtschipper 200, 2152 LG Nieuw-Vennep, Netherlands",03RU,HAARLEMMERMEER,Herbert Vissers College,Herbert Vissers College,"21,7 km",21741.0,47 min.,2817.0,OK,OK,52.2718327,4.633655,test
"Utrechtseweg 228, 3818 ET Amersfoort, Netherlands",03WO,AMERSFOORT,Van Lodenstein College,Van Lodensteincollege,"95,5 km",95520.0,1 uur 48 min.,6494.0,OK,OK,52.1366322,5.351352599999999,test
"Pauwenkamp 151, 3607 GK Maarssen, Netherlands",03OY,STICHTSE VECHT,Niftarlake College,Niftarlake College,"60,8 km",60833.0,1 uur 42 min.,6126.0,OK,OK,52.1362026,5.0231583,test
"Kon. Julianaweg 57, 3241 XB Middelharnis, Netherlands",03RB,GOEREE-OVERFLAKKEE,CSG Prins Maurits,Chr SGM Prins Maurits,"93,2 km",93224.0,2 uur 12 min.,7910.0,OK,OK,51.7545539,4.1587651,test
"Saturnus 1, 6922 LX Duiven, Netherlands",03RR,DUIVEN,Candea College,Candea College,120 km,119755.0,2 uur 19 min.,8352.0,OK,OK,51.9486299,5.9993344,test
"Lloydstraat 300, 3024 EA Rotterdam, Netherlands",05EA,ROTTERDAM,STC Group,STC,"44,5 km",44467.0,1 uur 15 min.,4512.0,OK,OK,51.9017193,4.4612688,test
"Eikendonklaan 3, 5143 NG Waalwijk, Netherlands",05AX,WAALWIJK,SG de overlaat,SGM De Overlaat,115 km,114535.0,2 uur 28 min.,8872.0,OK,OK,51.6850754,5.0959504,test
"Bergweg 4, 4461 NB Goes, Netherlands",05OH,GOES,Ostrea Lyceum,Ostrea Lyceum,149 km,149455.0,2 uur 47 min.,10017.0,OK,OK,51.5034551,3.900236,test
"Geraert Borchstraat 1, 5212 CZ 's-Hertogenbosch, Netherlands",05PL,S HERTOGENBOSCH,ds. Pierson College,Ds. Pierson College,101 km,101204.0,1 uur 53 min.,6783.0,OK,OK,51.6994543,5.3181615,test
"Rekkenseweg 1, 7152 AA Eibergen, Netherlands",05FB,BERKELLAND,Het Assink lyceum,Het Assink lyceum,243 km,243165.0,8 uur 55 min.,32095.0,OK,OK,52.0976331,6.6549213,test
"Den Uyllaan 4, 1421 NK Uithoorn, Netherlands",05FE,UITHOORN,rk Sg Thamen,RK SGM Thamen,"49,9 km",49913.0,1 uur 6 min.,3959.0,OK,OK,52.24310870000001,4.8187605,test
"Thornstraat 7, 6004 JP Weert, Netherlands",02ZR,WEERT,Het Kwadrant,Het College loc. Het Kwadrant,283 km,283058.0,7 uur 14 min.,26036.0,OK,OK,51.250365,5.7249661,test
"Kerkewijk 149, 3904 JC Veenendaal, Netherlands",02VM,VEENENDAAL,Christian Lyceum Veenendaal,Christelijk Lyceum SGM,"84,1 km",84054.0,1 uur 42 min.,6106.0,OK,OK,52.0131527,5.546106399999999,test
"Argonautenweg 13, 3054 RP Rotterdam, Netherlands",02VG,ROTTERDAM,Vakcollege Hillegersberg,Unie Noord - locatie VCH,"37,0 km",36993.0,1 uur 19 min.,4737.0,OK,OK,51.9596954,4.492572000000001,test
"Professor Kamerlingh Onneslaan 109, 3362 VE Sliedrecht, Netherlands",06WY,SLIEDRECHT,Griendencollege,Grienden College,"71,3 km",71328.0,1 uur 38 min.,5885.0,OK,OK,51.8234909,4.7821343,test
"Bentincklaan 280, 3039 KK Rotterdam, Netherlands",15KR,ROTTERDAM,Wolfert van Borselen Scholengroep,Wolfert van Borselen sgr,"40,9 km",40938.0,1 uur 2 min.,3693.0,OK,OK,51.924916,4.455235,test
"Tolstraat 9, 2405 VS Alphen aan den Rijn, Netherlands",15BH,ALPHEN AAN DEN RIJN,"CSG Groene Hart, vestiging Topmavo",Groene Hart Topmavo,"17,6 km",17615.0,47 min.,2799.0,OK,OK,52.1356134,4.6593843,test
"Knegselseweg 30, 5504 NC Veldhoven, Netherlands",15BS,VELDHOVEN,Sondervick College,Sondervick College,157 km,157467.0,8 uur 23 min.,30175.0,OK,OK,51.4037139,5.3838209,test
"Mecklenburglaan 49, 3061 BD Rotterdam, Netherlands",15EO,ROTTERDAM,Libanon Lyceum,OSG Libanon Lyceum,"43,4 km",43411.0,1 uur 8 min.,4082.0,OK,OK,51.927833,4.510864,test
"Alexandriëstraat 40, 3067 MR Rotterdam, Netherlands",08CU,ROTTERDAM,Emmauscollege,Emmauscollege,"50,1 km",50051.0,1 uur 18 min.,4682.0,OK,OK,51.94870100000001,4.565087999999999,test
"Lage Weide 1, 7231 NN Warnsveld, Netherlands",08LP,ZUTPHEN,Isendoorn College,Isendoorn College,198 km,197964.0,8 uur 6 min.,29136.0,OK,OK,52.1352989,6.223560399999999,test
"Hoenderparkweg 61, 7335 GR Apeldoorn, Netherlands",08SG,APELDOORN,Veluwse Onderwijsgroep,CVO Apeldoorn,144 km,144467.0,7 uur 12 min.,25944.0,OK,OK,52.195437,5.953283799999999,test
"Endelhovenlaan 1, 3601 GR Maarssen, Netherlands",11NY,STICHTSE VECHT,Municipality of Stichtse Vecht,Reg Sgm Broklede,"50,2 km",50195.0,1 uur 24 min.,5055.0,OK,OK,52.1447548,5.0332077,test
"Dierensteinweg 2, 2991 XJ Barendrecht, Netherlands",11UL,BARENDRECHT,OZHW Groen College,AOC Edudelta Onderwijsgroep,"49,5 km",49542.0,1 uur 24 min.,5049.0,OK,OK,51.8621588,4.5373428,test
"Randweg 2, 3263 RA Oud-Beijerland, Netherlands",08VU,OUD-BEIJERLAND,Willem van oranje,Chr SGM Willem v Oranje,"65,1 km",65071.0,1 uur 49 min.,6545.0,OK,OK,51.8183088,4.3952054,test
"Warmondstraat 240, 5036 BV Tilburg, Netherlands",09VG,TILBURG,Reeshof College,Reeshof College,106 km,105608.0,2 uur 0 min.,7174.0,OK,OK,51.57305890000001,4.9944234,test
"Diamantstraat 31, 2403 AS Alphen aan den Rijn, Netherlands",10AN,ALPHEN AAN DEN RIJN,Scala College,Scala College,"19,3 km",19346.0,1 uur 13 min.,4359.0,OK,OK,52.1424465,4.6783954,test
"Burgemeester Stulemeijerlaan 56, 4611 EG Bergen op Zoom, Netherlands",10LU,BERGEN OP ZOOM,RSG 't Rijks Bergen op Zoom,Reg Sgm 't Rijks,112 km,111879.0,1 uur 58 min.,7109.0,OK,OK,51.49876399999999,4.282813,test
"Vondellaan 4, 3906 EA Veenendaal, Netherlands",06SU,VEENENDAAL,Ichthus College,Ichthus College,"82,3 km",82298.0,1 uur 37 min.,5812.0,OK,OK,52.02802149999999,5.526802399999999,test
"Diamant 9, 3641 XR Mijdrecht, Netherlands",05RA,DE RONDE VENEN,Veenlanden College Mijdrecht,Veenlanden College,"50,3 km",50312.0,1 uur 26 min.,5173.0,OK,OK,52.2146321,4.8607517,test
"Prinsenlaan 82, 3066 KA Rotterdam, Netherlands",15HX,ROTTERDAM,Thorbecke Vo,Thorbecke VO,"50,3 km",50307.0,1 uur 22 min.,4931.0,OK,OK,51.9400329,4.5554409,test
"Kamerlingh Onnesdreef 4, 2871 JN Schoonhoven, Netherlands",05TA,KRIMPENERWAARD,CSG Willem de Zwijger,CSG Willem De Zwijger,"61,8 km",61776.0,1 uur 46 min.,6388.0,OK,OK,51.950329,4.838458999999999,test
"Beukelsdijk 91, 3021 AE Rotterdam, Netherlands",05XJ,ROTTERDAM,The Lyceum Rotterdam,Het Lyceum Rotterdam,"40,2 km",40172.0,1 uur 0 min.,3578.0,OK,OK,51.9219731,4.4588654,test
"Uden, Netherlands",06HF,UDEN,Uden,Udens College,132 km,132295.0,2 uur 40 min.,9575.0,OK,OK,51.6631071,5.6239227,test
"T.M. Kortenhorstlaan 4, 5244 GD Rosmalen, Netherlands",07MU,S HERTOGENBOSCH,Rodenborch College,Rodenborch-College,105 km,105486.0,2 uur 3 min.,7389.0,OK,OK,51.714744,5.371940599999999,test
"IJssellaan 89, 6826 DM Arnhem, Netherlands",07PK,ARNHEM,Arentheem College Leerpark Presikhaaf,Arentheem College,113 km,113055.0,2 uur 12 min.,7937.0,OK,OK,51.9839389,5.9464457,test
"Woudenbergseweg 22a, 3953 MG Maarsbergen, Netherlands",07KP,UTRECHTSE HEUVELRUG,Vakcollege Maarsbergen,Vakcollege Maarsbergen,"66,5 km",66533.0,1 uur 51 min.,6666.0,OK,OK,52.03902009999999,5.4193433,test
"Pagnevaartweg 5, 4731 AA Oudenbosch, Netherlands",06XL,HALDERBERGE,"Markland College, Oudenbosch",Markland College Oudenbosch,105 km,105173.0,1 uur 50 min.,6573.0,OK,OK,51.58647509999999,4.5355988,test
"Bradleystraat 25, 6135 CV Sittard, Netherlands",07BQ,SITTARD-GELEEN,Stichting Trevianum,HAVO Trevianum,262 km,262035.0,6 uur 39 min.,23913.0,OK,OK,51.0073835,5.848339,test
"Pim Mulierlaan 4, 2024 BT Haarlem, Netherlands",07FH,HAARLEM,Mendelcollege Haarlem,Mendel College,"33,2 km",33192.0,1 uur 5 min.,3894.0,OK,OK,52.40635899999999,4.6316266,test
"Koggelaan 7, 8017 JN Zwolle, Netherlands",13US,ZWOLLE,Groene Welle,AOC De Groene Welle,150 km,150208.0,1 uur 55 min.,6929.0,OK,OK,52.5037783,6.0838062,test
"Willem de Zwijgersingel 5, 2805 BP Gouda, Netherlands",13WH,GOUDA,Gouda Scholengemeenschap Leo Vroman,De Goudse SGM Leo Vroman,"45,0 km",44973.0,1 uur 6 min.,3988.0,OK,OK,52.02143969999999,4.7122503,test
"Diamantlaan 27, 9743 BA Groningen, Netherlands",13ZU,GRONINGEN,Reitdiep College,Reitdiepcollege,262 km,261621.0,7 uur 24 min.,26646.0,OK,OK,53.22082,6.5295501,test
"Kon. Julianastraat 3, 8862 TA Harlingen, Netherlands",14DC,HARLINGEN,RSG Simon Vestdijk,RSG Simon Vestdijk,268 km,268474.0,8 uur 10 min.,29422.0,OK,OK,53.1695828,5.425010299999999,test
"Eykmanlaan 1200, 3571 KH Utrecht, Netherlands",14OY,UTRECHT,Gerrit Rietveld College,Gerrit Rietveld College,"54,5 km",54500.0,1 uur 16 min.,4581.0,OK,OK,52.11116149999999,5.1364399,test
"Ina Boudier-Bakkerlaan 7, 3582 VA Utrecht, Netherlands",15JM,UTRECHT,Utrecht City Gymnasium,Utrechts Stedelijk Gymnasium,"53,4 km",53364.0,1 uur 19 min.,4713.0,OK,OK,52.08235209999999,5.1331276,test
"Apollolaan 262, 2324 BZ Leiden, Netherlands",14WJ,LEIDEN,Vlietland College,Het Vlietland College,"6,6 km",6624.0,33 min.,2004.0,OK,OK,52.1390177,4.4737257,test
"Bovenburen 60, 9675 HH Winschoten, Netherlands",02VJ,OLDAMBT,Ubbo Emmius,PC en RK SGM Ubbo Emmius,230 km,229559.0,7 uur 40 min.,27616.0,OK,OK,53.1538747,7.033233099999999,test
"Laurensvliet 2-R, 3331 HW Zwijndrecht, Netherlands",14RR,ZWIJNDRECHT,LOKET Zwijndrechtse Waard,DevelsteinCollege loc. Loket,"57,8 km",57778.0,1 uur 23 min.,4989.0,OK,OK,51.8210571,4.640787899999999,test
"Isendoornstraat 1, 7201 NJ Zutphen, Netherlands",02VS,ZUTPHEN,Baudartius College,Baudartius College,195 km,195387.0,2 uur 25 min.,8693.0,OK,OK,52.1452328,6.1980814,test
"Doesburgsedijk 7, 6953 AK Dieren, Netherlands",02VN,RHEDEN,Het Rhedens,Reg SGM Het Rhedens,126 km,125927.0,2 uur 25 min.,8680.0,OK,OK,52.041441,6.102312,test
"Aart van der Leeuwkade 1, 2274 KX Voorburg, Netherlands",02VO,LEIDSCHENDAM-VOORBURG,Gymnasium Novum,Gymnasium Novum,"16,3 km",16266.0,40 min.,2425.0,OK,OK,52.0717311,4.358377,test
"Middelven 2, 1504 BZ Zaandam, Netherlands",02VQ,ZAANSTAD,"Pascal South, for vocational school",Locatie Pascal Zuid,"59,1 km",59102.0,1 uur 19 min.,4719.0,OK,OK,52.4370208,4.843303,test
"Graaf Adolflaan 4, 3708 XB Zeist, Netherlands",02VR,ZEIST,Christelijk College Zeist,Christelijk College Zeist,"64,4 km",64355.0,1 uur 37 min.,5835.0,OK,OK,52.0762216,5.2659728,test
"Heemskerkstraat 105, 2805 SN Gouda, Netherlands",14SF,GOUDA,Christelijke Scholengemeenschap De Goudse Waarden Lyceum-havo,SGM De Goudse Waarden,"45,4 km",45381.0,1 uur 11 min.,4286.0,OK,OK,52.02466870000001,4.7129699,test
